Criado como novo conjunto de dados;"2706_e01_daniel.spp","101527.4 Secs"
cm-1;Abs
10000.000000;0.865534
9999.000000;0.865054
9998.000000;0.864486
9997.000000;0.863900
9996.000000;0.863534
9995.000000;0.863530
9994.000000;0.863763
9993.000000;0.864003
9992.000000;0.864169
9991.000000;0.864327
9990.000000;0.864502
9989.000000;0.864595
9988.000000;0.864500
9987.000000;0.864252
9986.000000;0.864009
9985.000000;0.863909
9984.000000;0.863968
9983.000000;0.864136
9982.000000;0.864397
9981.000000;0.864752
9980.000000;0.865114
9979.000000;0.865306
9978.000000;0.865223
9977.000000;0.864903
9976.000000;0.864413
9975.000000;0.863809
9974.000000;0.863277
9973.000000;0.863137
9972.000000;0.863502
9971.000000;0.863999
9970.000000;0.864058
9969.000000;0.863519
9968.000000;0.862745
9967.000000;0.862085
9966.000000;0.861467
9965.000000;0.860670
9964.000000;0.859817
9963.000000;0.859335
9962.000000;0.859433
9961.000000;0.859851
9960.000000;0.860196
9959.000000;0.860361
9958.000000;0.860491
9957.000000;0.860684
9956.000000;0.860898
9955.000000;0.861109
9954.000000;0.861348
9953.000000;0.861526
9952.000000;0.861410
9951.000000;0.860915
9950.000000;0.860318
9949.000000;0.860006
9948.000000;0.860063
9947.000000;0.860263
9946.000000;0.860467
9945.000000;0.860791
9944.000000;0.861298
9943.000000;0.861703
9942.000000;0.861603
9941.000000;0.860966
9940.000000;0.860223
9939.000000;0.859803
9938.000000;0.859698
9937.000000;0.859540
9936.000000;0.859084
9935.000000;0.858504
9934.000000;0.858191
9933.000000;0.858327
9932.000000;0.858739
9931.000000;0.859115
9930.000000;0.859272
9929.000000;0.859177
9928.000000;0.858914
9927.000000;0.858718
9926.000000;0.858905
9925.000000;0.859512
9924.000000;0.860063
9923.000000;0.859977
9922.000000;0.859265
9921.000000;0.858585
9920.000000;0.858487
9919.000000;0.858785
9918.000000;0.858838
9917.000000;0.858319
9916.000000;0.857526
9915.000000;0.857014
9914.000000;0.857094
9913.000000;0.857655
9912.000000;0.858310
9911.000000;0.858699
9910.000000;0.858757
9909.000000;0.858687
9908.000000;0.858651
9907.000000;0.858562
9906.000000;0.858232
9905.000000;0.857651
