Criado como novo conjunto de dados;"0307_DANIEL.spp","63905.6 Secs"
cm-1;Abs
10000.000000;0.568862
9999.000000;0.567865
9998.000000;0.566871
9997.000000;0.565880
9996.000000;0.564890
9995.000000;0.563904
9994.000000;0.562918
9993.000000;0.561937
9992.000000;0.560951
9991.000000;0.560174
9990.000000;0.559531
9989.000000;0.558839
9988.000000;0.557955
9987.000000;0.556896
9986.000000;0.555836
9985.000000;0.554915
9984.000000;0.554099
9983.000000;0.553269
9982.000000;0.552376
9981.000000;0.551424
9980.000000;0.550378
9979.000000;0.549233
9978.000000;0.548150
9977.000000;0.547346
9976.000000;0.546815
9975.000000;0.546287
9974.000000;0.545558
9973.000000;0.544701
9972.000000;0.543864
9971.000000;0.543011
9970.000000;0.542056
9969.000000;0.541163
9968.000000;0.540661
9967.000000;0.540615
9966.000000;0.540673
9965.000000;0.540395
9964.000000;0.539618
9963.000000;0.538452
9962.000000;0.537093
9961.000000;0.535750
9960.000000;0.534634
9959.000000;0.533808
9958.000000;0.533119
9957.000000;0.532389
9956.000000;0.531647
9955.000000;0.531030
9954.000000;0.530497
9953.000000;0.529783
9952.000000;0.528668
9951.000000;0.527208
9950.000000;0.525711
9949.000000;0.524564
9948.000000;0.524001
9947.000000;0.523878
9946.000000;0.523664
9945.000000;0.522853
9944.000000;0.521483
9943.000000;0.520114
9942.000000;0.519224
9941.000000;0.518713
9940.000000;0.518094
9939.000000;0.517051
9938.000000;0.515688
9937.000000;0.514309
9936.000000;0.513134
9935.000000;0.512226
9934.000000;0.511561
9933.000000;0.511056
9932.000000;0.510578
9931.000000;0.509966
9930.000000;0.509102
9929.000000;0.507998
9928.000000;0.506840
9927.000000;0.505895
9926.000000;0.505313
9925.000000;0.504994
9924.000000;0.504637
9923.000000;0.503931
9922.000000;0.502750
9921.000000;0.501231
9920.000000;0.499666
9919.000000;0.498299
9918.000000;0.497196
9917.000000;0.496307
9916.000000;0.495622
9915.000000;0.495173
9914.000000;0.494862
9913.000000;0.494388
9912.000000;0.493453
9911.000000;0.492040
9910.000000;0.490441
9909.000000;0.489004
9908.000000;0.487906
9907.000000;0.487119
9906.000000;0.486531
9905.000000;0.486032
9904.000000;0.485505
9903.000000;0.484780
9902.000000;0.483715
9901.000000;0.482369
9900.000000;0.481031
9899.000000;0.479953
9898.000000;0.479057
9897.000000;0.478024
9896.000000;0.476685
9895.000000;0.475228
9894.000000;0.473958
9893.000000;0.472981
9892.000000;0.472180
9891.000000;0.471389
9890.000000;0.470503
9889.000000;0.469475
9888.000000;0.468336
9887.000000;0.467203
9886.000000;0.466185
9885.000000;0.465284
9884.000000;0.464408
9883.000000;0.463484
9882.000000;0.462511
9881.000000;0.461564
9880.000000;0.460747
9879.000000;0.460083
9878.000000;0.459439
9877.000000;0.458623
9876.000000;0.457611
9875.000000;0.456558
9874.000000;0.455541
9873.000000;0.454425
9872.000000;0.453077
9871.000000;0.451613
9870.000000;0.450307
9869.000000;0.449321
9868.000000;0.448626
9867.000000;0.448112
9866.000000;0.447636
9865.000000;0.447029
9864.000000;0.446181
9863.000000;0.445117
9862.000000;0.443905
9861.000000;0.442558
9860.000000;0.441131
9859.000000;0.439780
9858.000000;0.438564
9857.000000;0.437291
9856.000000;0.435783
9855.000000;0.434222
9854.000000;0.432970
9853.000000;0.432049
9852.000000;0.431091
9851.000000;0.429861
9850.000000;0.428566
9849.000000;0.427530
9848.000000;0.426773
9847.000000;0.426107
9846.000000;0.425446
9845.000000;0.424822
9844.000000;0.424186
9843.000000;0.423417
9842.000000;0.422490
9841.000000;0.421482
9840.000000;0.420423
9839.000000;0.419264
