Criado como novo conjunto de dados;"e0108.spp","-4220081.6 Secs"
cm-1;Abs
10000.000000;1.926090
9999.000000;1.933402
9998.000000;1.940839
9997.000000;1.948407
9996.000000;1.956106
9995.000000;1.963950
9994.000000;1.971927
9993.000000;1.980075
9992.000000;1.988334
9991.000000;1.997023
9990.000000;2.001843
9989.000000;2.000757
9988.000000;1.993967
9987.000000;1.984637
9986.000000;1.979360
9985.000000;1.983221
9984.000000;1.994630
9983.000000;2.005767
9982.000000;2.009461
9981.000000;2.006296
9980.000000;2.001806
9979.000000;1.999447
9978.000000;1.999653
9977.000000;2.001316
9976.000000;2.002486
9975.000000;2.001457
9974.000000;1.997904
9973.000000;1.993291
9972.000000;1.989943
9971.000000;1.989570
9970.000000;1.992372
9969.000000;1.996725
9968.000000;1.999868
9967.000000;1.999320
9966.000000;1.994588
9965.000000;1.988181
9964.000000;1.983430
9963.000000;1.981533
9962.000000;1.981543
9961.000000;1.982655
9960.000000;1.986116
9959.000000;1.994074
9958.000000;2.005921
9957.000000;2.016089
9956.000000;2.017047
9955.000000;2.006138
9954.000000;1.988061
9953.000000;1.969784
9952.000000;1.955557
9951.000000;1.947030
9950.000000;1.944783
9949.000000;1.947648
9948.000000;1.952134
9947.000000;1.954401
9946.000000;1.953091
9945.000000;1.949997
9944.000000;1.948396
9943.000000;1.951144
9942.000000;1.958999
9941.000000;1.969082
9940.000000;1.975461
9939.000000;1.973699
9938.000000;1.965741
9937.000000;1.958100
9936.000000;1.955006
9935.000000;1.955365
9934.000000;1.955818
9933.000000;1.955278
9932.000000;1.956397
9931.000000;1.963195
9930.000000;1.977181
9929.000000;1.995010
9928.000000;2.009605
9927.000000;2.015063
9926.000000;2.011630
9925.000000;2.004769
9924.000000;1.999501
9923.000000;1.996908
9922.000000;1.994906
9921.000000;1.990462
9920.000000;1.981305
9919.000000;1.967506
9918.000000;1.952335
9917.000000;1.940533
9916.000000;1.935046
9915.000000;1.936171
9914.000000;1.942881
9913.000000;1.952982
9912.000000;1.962954
9911.000000;1.969617
9910.000000;1.972028
9909.000000;1.970908
9908.000000;1.966398
9907.000000;1.958063
9906.000000;1.947394
9905.000000;1.938065
9904.000000;1.933122
9903.000000;1.933471
9902.000000;1.938468
9901.000000;1.946379
9900.000000;1.955127
9899.000000;1.962684
9898.000000;1.966767
9897.000000;1.966299
9896.000000;1.962994
9895.000000;1.960222
9894.000000;1.960812
9893.000000;1.965256
9892.000000;1.970442
9891.000000;1.971025
9890.000000;1.964912
9889.000000;1.957014
9888.000000;1.954880
9887.000000;1.961355
9886.000000;1.972271
9885.000000;1.980618
9884.000000;1.982809
9883.000000;1.979913
9882.000000;1.974663
9881.000000;1.970121
9880.000000;1.968534
9879.000000;1.969119
9878.000000;1.967524
9877.000000;1.959388
9876.000000;1.946138
9875.000000;1.934511
9874.000000;1.929078
9873.000000;1.928019
9872.000000;1.927138
9871.000000;1.926581
9870.000000;1.931106
9869.000000;1.942891
9868.000000;1.956622
9867.000000;1.964262
9866.000000;1.963729
9865.000000;1.959503
9864.000000;1.956249
9863.000000;1.956064
9862.000000;1.959963
9861.000000;1.966872
9860.000000;1.971150
9859.000000;1.966414
9858.000000;1.954079
9857.000000;1.942833
9856.000000;1.938331
9855.000000;1.938186
9854.000000;1.937982
9853.000000;1.938521
9852.000000;1.943393
9851.000000;1.951788
9850.000000;1.958297
9849.000000;1.959587
9848.000000;1.957235
9847.000000;1.953303
9846.000000;1.947515
9845.000000;1.939969
9844.000000;1.933268
9843.000000;1.930413
9842.000000;1.932216
9841.000000;1.937200
9840.000000;1.942663
9839.000000;1.945882
9838.000000;1.946232
9837.000000;1.946303
9836.000000;1.948873
9835.000000;1.952727
9834.000000;1.953655
9833.000000;1.950191
9832.000000;1.945943
9831.000000;1.944757
9830.000000;1.946222
9829.000000;1.947609
9828.000000;1.947728
9827.000000;1.947084
9826.000000;1.945934
9825.000000;1.944132
9824.000000;1.942024
9823.000000;1.939449
9822.000000;1.935138
9821.000000;1.928985
9820.000000;1.923345
9819.000000;1.921075
9818.000000;1.923508
9817.000000;1.930448
9816.000000;1.940432
9815.000000;1.950230
9814.000000;1.956154
9813.000000;1.957604
9812.000000;1.957517
9811.000000;1.957588
9810.000000;1.955412
9809.000000;1.948701
9808.000000;1.939803
9807.000000;1.932517
9806.000000;1.926842
9805.000000;1.920519
9804.000000;1.914187
9803.000000;1.910919
9802.000000;1.910935
9801.000000;1.910781
9800.000000;1.908727
9799.000000;1.907436
9798.000000;1.909599
9797.000000;1.914119
9796.000000;1.918507
9795.000000;1.922903
9794.000000;1.929187
9793.000000;1.936777
9792.000000;1.941916
9791.000000;1.941671
9790.000000;1.936944
9789.000000;1.931344
9788.000000;1.928479
9787.000000;1.929816
9786.000000;1.933649
9785.000000;1.936233
9784.000000;1.934996
9783.000000;1.930400
9782.000000;1.924006
9781.000000;1.916405
9780.000000;1.908555
9779.000000;1.903173
9778.000000;1.902475
9777.000000;1.905265
9776.000000;1.907387
9775.000000;1.905811
9774.000000;1.902505
9773.000000;1.902570
9772.000000;1.908242
9771.000000;1.915853
9770.000000;1.919112
9769.000000;1.915414
9768.000000;1.908052
9767.000000;1.901864
9766.000000;1.898212
9765.000000;1.895554
9764.000000;1.893958
9763.000000;1.896479
9762.000000;1.905216
9761.000000;1.918011
9760.000000;1.930236
9759.000000;1.938600
9758.000000;1.942026
9757.000000;1.940392
9756.000000;1.934742
9755.000000;1.927512
9754.000000;1.920023
9753.000000;1.911105
9752.000000;1.900316
9751.000000;1.890927
9750.000000;1.887526
9749.000000;1.890747
9748.000000;1.896175
9747.000000;1.898992
9746.000000;1.898074
9745.000000;1.895522
9744.000000;1.893971
9743.000000;1.895497
9742.000000;1.901575
9741.000000;1.911791
9740.000000;1.922707
9739.000000;1.929602
9738.000000;1.930333
9737.000000;1.926777
9736.000000;1.922358
9735.000000;1.919451
9734.000000;1.918666
9733.000000;1.919331
9732.000000;1.920261
9731.000000;1.920077
9730.000000;1.917523
9729.000000;1.912666
9728.000000;1.907824
9727.000000;1.906053
9726.000000;1.908092
9725.000000;1.911451
9724.000000;1.913330
9723.000000;1.913579
9722.000000;1.913341
9721.000000;1.912163
9720.000000;1.908710
9719.000000;1.903754
9718.000000;1.899897
9717.000000;1.897949
9716.000000;1.895724
9715.000000;1.891048
9714.000000;1.884213
9713.000000;1.876996
9712.000000;1.871403
9711.000000;1.869307
9710.000000;1.871633
9709.000000;1.878188
9708.000000;1.888476
9707.000000;1.901584
9706.000000;1.914464
9705.000000;1.921586
9704.000000;1.918865
9703.000000;1.908769
9702.000000;1.898999
9701.000000;1.894905
9700.000000;1.895813
9699.000000;1.898862
9698.000000;1.903117
9697.000000;1.908191
9696.000000;1.911937
9695.000000;1.912475
9694.000000;1.910679
9693.000000;1.908295
9692.000000;1.904856
9691.000000;1.899112
9690.000000;1.892964
9689.000000;1.890445
9688.000000;1.892541
9687.000000;1.896043
9686.000000;1.897850
9685.000000;1.897915
9684.000000;1.897236
9683.000000;1.895531
9682.000000;1.892856
9681.000000;1.891482
9680.000000;1.893377
9679.000000;1.896870
9678.000000;1.898417
9677.000000;1.897458
9676.000000;1.896720
9675.000000;1.897341
9674.000000;1.896552
9673.000000;1.891676
9672.000000;1.884792
9671.000000;1.881130
9670.000000;1.883509
9669.000000;1.889791
9668.000000;1.895111
9667.000000;1.895942
9666.000000;1.892521
9665.000000;1.888014
9664.000000;1.885634
9663.000000;1.886446
9662.000000;1.889194
9661.000000;1.892072
9660.000000;1.894487
9659.000000;1.896635
9658.000000;1.897809
9657.000000;1.896172
9656.000000;1.890583
9655.000000;1.882098
9654.000000;1.873497
9653.000000;1.867813
9652.000000;1.866950
9651.000000;1.870538
9650.000000;1.875741
9649.000000;1.879192
9648.000000;1.879325
9647.000000;1.876205
9646.000000;1.870184
9645.000000;1.862474
9644.000000;1.856562
9643.000000;1.856675
9642.000000;1.863576
9641.000000;1.872593
9640.000000;1.877331
9639.000000;1.875955
9638.000000;1.871547
9637.000000;1.866551
9636.000000;1.860776
9635.000000;1.854470
9634.000000;1.849720
9633.000000;1.847714
9632.000000;1.847171
9631.000000;1.847207
9630.000000;1.849644
9629.000000;1.855849
9628.000000;1.862666
9627.000000;1.864928
9626.000000;1.861920
9625.000000;1.857825
9624.000000;1.855858
9623.000000;1.855181
9622.000000;1.853796
9621.000000;1.852307
9620.000000;1.853353
9619.000000;1.858261
9618.000000;1.865885
9617.000000;1.874396
9616.000000;1.882559
9615.000000;1.888494
9614.000000;1.889075
9613.000000;1.883150
9612.000000;1.874736
9611.000000;1.870446
9610.000000;1.873409
9609.000000;1.880587
9608.000000;1.886395
9607.000000;1.888500
9606.000000;1.888610
9605.000000;1.888113
9604.000000;1.885876
9603.000000;1.880594
9602.000000;1.872773
9601.000000;1.863816
9600.000000;1.854953
9599.000000;1.847731
9598.000000;1.844171
9597.000000;1.844983
9596.000000;1.848179
9595.000000;1.851193
9594.000000;1.854075
9593.000000;1.858557
9592.000000;1.864282
9591.000000;1.868325
9590.000000;1.869026
9589.000000;1.868007
9588.000000;1.867240
9587.000000;1.866381
9586.000000;1.864479
9585.000000;1.862342
9584.000000;1.861068
9583.000000;1.859607
9582.000000;1.856230
9581.000000;1.851900
9580.000000;1.849751
9579.000000;1.851017
9578.000000;1.853613
9577.000000;1.855532
9576.000000;1.857369
9575.000000;1.859470
9574.000000;1.859128
9573.000000;1.854017
9572.000000;1.847146
9571.000000;1.844586
9570.000000;1.848355
9569.000000;1.854174
9568.000000;1.857066
9567.000000;1.857443
9566.000000;1.859372
9565.000000;1.864330
9564.000000;1.869664
9563.000000;1.872816
9562.000000;1.873974
9561.000000;1.874191
9560.000000;1.873416
9559.000000;1.871070
9558.000000;1.867626
9557.000000;1.864195
9556.000000;1.861156
9555.000000;1.858263
9554.000000;1.854947
9553.000000;1.850100
9552.000000;1.842941
9551.000000;1.834619
9550.000000;1.827472
9549.000000;1.822412
9548.000000;1.818816
9547.000000;1.817418
9546.000000;1.821224
9545.000000;1.831842
9544.000000;1.845934
9543.000000;1.856952
9542.000000;1.860888
9541.000000;1.859517
9540.000000;1.856823
9539.000000;1.854160
9538.000000;1.850968
9537.000000;1.847684
9536.000000;1.845775
9535.000000;1.846145
9534.000000;1.848125
9533.000000;1.849262
9532.000000;1.846668
9531.000000;1.840106
9530.000000;1.833546
9529.000000;1.832216
9528.000000;1.837597
9527.000000;1.845433
9526.000000;1.849355
9525.000000;1.847327
9524.000000;1.843777
9523.000000;1.844915
9522.000000;1.852660
9521.000000;1.862579
9520.000000;1.867426
9519.000000;1.863792
9518.000000;1.854584
9517.000000;1.844492
