Criado como novo conjunto de dados;"1909daniel.spp","-4256983.3 Secs"
cm-1;Abs
10000.000000;1.855500
9999.000000;1.859042
9998.000000;1.862462
9997.000000;1.866254
9996.000000;1.868009
9995.000000;1.865700
9994.000000;1.861505
9993.000000;1.858542
9992.000000;1.858362
9991.000000;1.859740
9990.000000;1.860546
9989.000000;1.859584
9988.000000;1.856966
9987.000000;1.853792
9986.000000;1.851676
9985.000000;1.851612
9984.000000;1.852734
9983.000000;1.852850
9982.000000;1.850761
9981.000000;1.847493
9980.000000;1.844905
9979.000000;1.843870
9978.000000;1.844278
9977.000000;1.845993
9976.000000;1.848818
9975.000000;1.851779
9974.000000;1.853310
9973.000000;1.852498
9972.000000;1.850025
9971.000000;1.847647
9970.000000;1.846699
9969.000000;1.847188
9968.000000;1.848198
9967.000000;1.848875
9966.000000;1.848826
9965.000000;1.847775
9964.000000;1.845425
9963.000000;1.841995
9962.000000;1.838495
9961.000000;1.835973
9960.000000;1.834750
9959.000000;1.834610
9958.000000;1.835177
9957.000000;1.835683
9956.000000;1.834924
9955.000000;1.832490
9954.000000;1.829817
9953.000000;1.828846
9952.000000;1.829702
9951.000000;1.830733
9950.000000;1.830846
9949.000000;1.830478
9948.000000;1.830010
9947.000000;1.828816
9946.000000;1.826703
9945.000000;1.824933
9944.000000;1.824707
9943.000000;1.825466
9942.000000;1.825835
9941.000000;1.825697
9940.000000;1.826020
9939.000000;1.826951
9938.000000;1.827391
9937.000000;1.826408
9936.000000;1.824049
9935.000000;1.820816
9934.000000;1.817588
9933.000000;1.815882
9932.000000;1.816522
9931.000000;1.818019
9930.000000;1.817806
9929.000000;1.815418
9928.000000;1.813080
9927.000000;1.812676
9926.000000;1.813486
9925.000000;1.813511
9924.000000;1.811927
9923.000000;1.809356
9922.000000;1.806620
9921.000000;1.804566
9920.000000;1.804281
9919.000000;1.805952
9918.000000;1.807843
9917.000000;1.807634
9916.000000;1.805126
9915.000000;1.802634
9914.000000;1.802193
9913.000000;1.803272
9912.000000;1.803721
9911.000000;1.802408
9910.000000;1.800322
9909.000000;1.799183
9908.000000;1.799531
9907.000000;1.800304
9906.000000;1.800076
9905.000000;1.798540
9904.000000;1.796667
