Criado como novo conjunto de dados;"e2410_daniel_v2.spp","27363.7 Secs"
cm-1;Abs
10000.000000;0.535083
9999.000000;0.534363
9998.000000;0.533880
9997.000000;0.533557
9996.000000;0.533145
9995.000000;0.532477
9994.000000;0.531601
9993.000000;0.530710
9992.000000;0.529970
9991.000000;0.529369
9990.000000;0.528739
9989.000000;0.527982
9988.000000;0.527240
9987.000000;0.526776
9986.000000;0.526661
9985.000000;0.526677
9984.000000;0.526556
9983.000000;0.526240
9982.000000;0.525847
9981.000000;0.525447
9980.000000;0.524953
9979.000000;0.524275
9978.000000;0.523498
9977.000000;0.522867
9976.000000;0.522545
9975.000000;0.522426
9974.000000;0.522217
9973.000000;0.521700
9972.000000;0.520903
9971.000000;0.520058
9970.000000;0.519457
9969.000000;0.519277
9968.000000;0.519404
9967.000000;0.519409
9966.000000;0.518881
9965.000000;0.517877
9964.000000;0.516901
9963.000000;0.516353
9962.000000;0.516124
9961.000000;0.515840
9960.000000;0.515355
9959.000000;0.514839
9958.000000;0.514452
9957.000000;0.514152
9956.000000;0.513808
9955.000000;0.513326
9954.000000;0.512648
9953.000000;0.511797
9952.000000;0.510928
9951.000000;0.510219
9950.000000;0.509659
9949.000000;0.509087
9948.000000;0.508433
9947.000000;0.507809
9946.000000;0.507335
9945.000000;0.507001
9944.000000;0.506744
9943.000000;0.506514
9942.000000;0.506224
9941.000000;0.505771
9940.000000;0.505168
9939.000000;0.504565
9938.000000;0.504056
9937.000000;0.503569
9936.000000;0.503002
9935.000000;0.502373
9934.000000;0.501767
9933.000000;0.501223
9932.000000;0.500775
9931.000000;0.500489
9930.000000;0.500349
9929.000000;0.500165
9928.000000;0.499729
9927.000000;0.499046
9926.000000;0.498319
9925.000000;0.497715
9924.000000;0.497243
9923.000000;0.496863
9922.000000;0.496589
9921.000000;0.496433
9920.000000;0.496314
9919.000000;0.496074
9918.000000;0.495572
9917.000000;0.494757
9916.000000;0.493728
9915.000000;0.492750
9914.000000;0.492127
9913.000000;0.491940
9912.000000;0.491904
9911.000000;0.491582
9910.000000;0.490812
9909.000000;0.489877
9908.000000;0.489188
9907.000000;0.488851
9906.000000;0.488588
9905.000000;0.488093
9904.000000;0.487336
9903.000000;0.486513
9902.000000;0.485793
9901.000000;0.485210
9900.000000;0.484760
9899.000000;0.484449
9898.000000;0.484218
9897.000000;0.483906
9896.000000;0.483363
9895.000000;0.482623
9894.000000;0.481904
9893.000000;0.481417
9892.000000;0.481187
9891.000000;0.481047
9890.000000;0.480788
9889.000000;0.480313
9888.000000;0.479677
9887.000000;0.479038
9886.000000;0.478570
9885.000000;0.478346
9884.000000;0.478264
9883.000000;0.478107
9882.000000;0.477756
9881.000000;0.477290
9880.000000;0.476831
9879.000000;0.476329
9878.000000;0.475624
9877.000000;0.474700
9876.000000;0.473761
9875.000000;0.473033
9874.000000;0.472581
9873.000000;0.472345
9872.000000;0.472226
9871.000000;0.472076
9870.000000;0.471719
9869.000000;0.471100
9868.000000;0.470364
9867.000000;0.469703
9866.000000;0.469163
9865.000000;0.468658
9864.000000;0.468118
9863.000000;0.467557
9862.000000;0.467040
9861.000000;0.466635
9860.000000;0.466357
9859.000000;0.466087
9858.000000;0.465632
9857.000000;0.464961
9856.000000;0.464303
9855.000000;0.463909
9854.000000;0.463761
9853.000000;0.463627
9852.000000;0.463361
9851.000000;0.462990
9850.000000;0.462551
9849.000000;0.462011
9848.000000;0.461402
9847.000000;0.460871
9846.000000;0.460510
9845.000000;0.460220
9844.000000;0.459822
9843.000000;0.459274
9842.000000;0.458690
9841.000000;0.458184
9840.000000;0.457744
9839.000000;0.457283
9838.000000;0.456758
9837.000000;0.456234
9836.000000;0.455786
9835.000000;0.455389
9834.000000;0.454939
9833.000000;0.454423
9832.000000;0.453969
9831.000000;0.453683
9830.000000;0.453467
9829.000000;0.453102
9828.000000;0.452475
9827.000000;0.451664
9826.000000;0.450812
9825.000000;0.450032
9824.000000;0.449415
9823.000000;0.449004
9822.000000;0.448712
9821.000000;0.448356
9820.000000;0.447835
9819.000000;0.447228
9818.000000;0.446671
9817.000000;0.446202
9816.000000;0.445766
9815.000000;0.445308
9814.000000;0.444811
9813.000000;0.444287
9812.000000;0.443785
9811.000000;0.443408
9810.000000;0.443239
9809.000000;0.443233
9808.000000;0.443222
9807.000000;0.443040
9806.000000;0.442647
9805.000000;0.442126
9804.000000;0.441567
9803.000000;0.440962
9802.000000;0.440251
9801.000000;0.439471
9800.000000;0.438791
9799.000000;0.438356
9798.000000;0.438094
9797.000000;0.437759
9796.000000;0.437190
9795.000000;0.436477
9794.000000;0.435823
9793.000000;0.435307
9792.000000;0.434817
9791.000000;0.434230
9790.000000;0.433568
9789.000000;0.432967
9788.000000;0.432517
9787.000000;0.432173
9786.000000;0.431831
9785.000000;0.431448
9784.000000;0.431041
9783.000000;0.430590
9782.000000;0.430019
9781.000000;0.429324
9780.000000;0.428673
9779.000000;0.428290
9778.000000;0.428199
9777.000000;0.428148
9776.000000;0.427838
9775.000000;0.427206
9774.000000;0.426464
9773.000000;0.425864
9772.000000;0.425460
9771.000000;0.425122
9770.000000;0.424719
9769.000000;0.424268
9768.000000;0.423862
9767.000000;0.423516
9766.000000;0.423115
9765.000000;0.422541
9764.000000;0.421818
9763.000000;0.421118
9762.000000;0.420610
9761.000000;0.420323
9760.000000;0.420116
9759.000000;0.419807
9758.000000;0.419315
9757.000000;0.418702
9756.000000;0.418082
9755.000000;0.417509
9754.000000;0.416984
9753.000000;0.416533
9752.000000;0.416199
9751.000000;0.415970
9750.000000;0.415742
9749.000000;0.415420
9748.000000;0.415001
9747.000000;0.414545
9746.000000;0.414081
9745.000000;0.413586
9744.000000;0.413057
9743.000000;0.412544
9742.000000;0.412099
9741.000000;0.411713
9740.000000;0.411316
9739.000000;0.410862
9738.000000;0.410409
9737.000000;0.410079
9736.000000;0.409902
9735.000000;0.409714
9734.000000;0.409268
9733.000000;0.408486
9732.000000;0.407574
9731.000000;0.406841
9730.000000;0.406413
9729.000000;0.406142
9728.000000;0.405786
9727.000000;0.405245
9726.000000;0.404635
9725.000000;0.404145
9724.000000;0.403852
9723.000000;0.403652
9722.000000;0.403365
9721.000000;0.402883
9720.000000;0.402239
9719.000000;0.401562
9718.000000;0.400987
9717.000000;0.400589
9716.000000;0.400356
9715.000000;0.400192
9714.000000;0.399974
9713.000000;0.399609
9712.000000;0.399067
9711.000000;0.398395
9710.000000;0.397698
9709.000000;0.397090
9708.000000;0.396620
9707.000000;0.396247
9706.000000;0.395893
9705.000000;0.395516
9704.000000;0.395115
9703.000000;0.394721
9702.000000;0.394394
9701.000000;0.394183
9700.000000;0.394053
9699.000000;0.393868
9698.000000;0.393494
9697.000000;0.392900
9696.000000;0.392155
9695.000000;0.391389
9694.000000;0.390768
9693.000000;0.390421
9692.000000;0.390296
9691.000000;0.390148
9690.000000;0.389766
9689.000000;0.389174
9688.000000;0.388546
9687.000000;0.387983
9686.000000;0.387489
9685.000000;0.387082
9684.000000;0.386774
9683.000000;0.386460
9682.000000;0.385993
9681.000000;0.385367
9680.000000;0.384725
9679.000000;0.384173
9678.000000;0.383722
9677.000000;0.383375
9676.000000;0.383119
9675.000000;0.382822
9674.000000;0.382325
9673.000000;0.381699
9672.000000;0.381215
9671.000000;0.380999
9670.000000;0.380853
9669.000000;0.380523
9668.000000;0.379999
9667.000000;0.379458
9666.000000;0.379005
9665.000000;0.378623
9664.000000;0.378252
9663.000000;0.377822
9662.000000;0.377284
9661.000000;0.376697
9660.000000;0.376227
9659.000000;0.375958
9658.000000;0.375768
9657.000000;0.375490
9656.000000;0.375096
9655.000000;0.374650
9654.000000;0.374164
9653.000000;0.373604
9652.000000;0.372971
9651.000000;0.372290
9650.000000;0.371586
9649.000000;0.370952
9648.000000;0.370534
9647.000000;0.370352
9646.000000;0.370214
9645.000000;0.369937
9644.000000;0.369574
9643.000000;0.369286
