Criado como novo conjunto de dados;"Jao_teste_celulas.spp","9604.1 Secs"
cm-1;Abs
10000.000000;1.239361
9999.000000;1.239020
9998.000000;1.238680
9997.000000;1.238340
9996.000000;1.238000
9995.000000;1.237660
9994.000000;1.237321
9993.000000;1.236981
9992.000000;1.236645
9991.000000;1.236242
9990.000000;1.235848
9989.000000;1.235454
9988.000000;1.235059
9987.000000;1.234685
9986.000000;1.234293
9985.000000;1.233816
9984.000000;1.233286
9983.000000;1.232815
9982.000000;1.232395
9981.000000;1.231790
9980.000000;1.230729
9979.000000;1.229284
9978.000000;1.227998
9977.000000;1.227563
9976.000000;1.228217
9975.000000;1.229403
9974.000000;1.230134
9973.000000;1.229804
9972.000000;1.228641
9971.000000;1.227377
9970.000000;1.226580
9969.000000;1.226331
9968.000000;1.226294
9967.000000;1.225957
9966.000000;1.224962
9965.000000;1.223477
9964.000000;1.222188
9963.000000;1.221685
9962.000000;1.221867
9961.000000;1.222122
9960.000000;1.222053
9959.000000;1.221784
9958.000000;1.221535
9957.000000;1.221207
9956.000000;1.220557
9955.000000;1.219626
9954.000000;1.218834
9953.000000;1.218599
9952.000000;1.218890
9951.000000;1.219126
9950.000000;1.218670
9949.000000;1.217576
9948.000000;1.216657
9947.000000;1.216556
9946.000000;1.216871
9945.000000;1.216569
9944.000000;1.215262
9943.000000;1.213704
9942.000000;1.212877
9941.000000;1.212972
9940.000000;1.213428
9939.000000;1.213630
9938.000000;1.213307
9937.000000;1.212486
9936.000000;1.211415
9935.000000;1.210495
9934.000000;1.210035
9933.000000;1.210029
9932.000000;1.210240
9931.000000;1.210347
9930.000000;1.209982
9929.000000;1.208881
9928.000000;1.207230
9927.000000;1.205683
9926.000000;1.204853
9925.000000;1.204836
9924.000000;1.205291
9923.000000;1.205799
9922.000000;1.206011
9921.000000;1.205716
9920.000000;1.205053
9919.000000;1.204510
9918.000000;1.204482
9917.000000;1.204897
9916.000000;1.205433
9915.000000;1.205871
9914.000000;1.206017
9913.000000;1.205582
9912.000000;1.204563
9911.000000;1.203568
9910.000000;1.203266
9909.000000;1.203518
9908.000000;1.203474
9907.000000;1.202581
9906.000000;1.201118
9905.000000;1.199684
9904.000000;1.198566
9903.000000;1.197775
9902.000000;1.197300
9901.000000;1.197084
9900.000000;1.196973
9899.000000;1.196920
9898.000000;1.197041
9897.000000;1.197318
9896.000000;1.197406
9895.000000;1.196927
9894.000000;1.195852
9893.000000;1.194484
9892.000000;1.193223
9891.000000;1.192404
9890.000000;1.192136
9889.000000;1.192149
9888.000000;1.191943
9887.000000;1.191276
9886.000000;1.190396
9885.000000;1.189701
9884.000000;1.189330
9883.000000;1.189196
9882.000000;1.189194
9881.000000;1.189168
9880.000000;1.188845
9879.000000;1.188100
9878.000000;1.187250
9877.000000;1.186815
9876.000000;1.186957
9875.000000;1.187315
9874.000000;1.187400
9873.000000;1.187035
9872.000000;1.186383
9871.000000;1.185664
9870.000000;1.184922
9869.000000;1.184059
9868.000000;1.183097
9867.000000;1.182356
9866.000000;1.182218
9865.000000;1.182630
9864.000000;1.182994
9863.000000;1.182688
9862.000000;1.181660
9861.000000;1.180409
9860.000000;1.179490
9859.000000;1.179178
9858.000000;1.179448
9857.000000;1.180022
9856.000000;1.180410
9855.000000;1.180153
9854.000000;1.179172
9853.000000;1.177833
9852.000000;1.176658
9851.000000;1.176015
9850.000000;1.175988
9849.000000;1.176371
9848.000000;1.176790
9847.000000;1.176935
9846.000000;1.176688
9845.000000;1.176005
9844.000000;1.174827
9843.000000;1.173270
9842.000000;1.171773
9841.000000;1.170821
9840.000000;1.170538
9839.000000;1.170736
9838.000000;1.171272
9837.000000;1.172049
9836.000000;1.172686
9835.000000;1.172647
9834.000000;1.171858
9833.000000;1.170839
9832.000000;1.170003
9831.000000;1.169205
9830.000000;1.168268
9829.000000;1.167554
9828.000000;1.167501
9827.000000;1.167783
9826.000000;1.167542
9825.000000;1.166522
9824.000000;1.165444
9823.000000;1.165055
9822.000000;1.165220
9821.000000;1.165230
9820.000000;1.164710
9819.000000;1.163890
9818.000000;1.163220
9817.000000;1.163040
9816.000000;1.163499
9815.000000;1.164427
